Name,WikidataID
Abd al-Qadim,Q11903750
Abd al-Qadir,Q317520
Abd al-Qahhar,Q21081522
Abd al-Qahir,Q11903757
Abd al-Qays,Q11903754
Abd al-Rafi,Q21081532
Abd al-Rafiq,Q21045513
Abd al-Rahim,Q20995570
Abd al-Rahman,Q307378
Abd al-Raqib,Q28053386
Abd al-Rassul,Q11903774
Abd al-Rauf,Q11903781
Abd al-Raziq,Q113297749
Abd al-Razzaq,Q11903775
Abd al-Salam,Q4666312
Abd al-Sayyid,Q11903786
Abd al-Shafi,Q11903716
Abd al-Shahid,Q11903718
Abd al-Subbuh,Q11903788
Abd al-Tawwab,Q11903785
Abd al-Uzza,Q4664595
Abd al-Wakil,Q11903759
Abd al-Wali,Q11903760
Abd al-Wassi,Q21081527
Abd al-Zahra,Q11903789
Abd ar-Rahim,Q20995570
Abd ar-Rahman,Q307378
Abd ar-Rahmán,Q307378
Abd as-Salam,Q11903783
Abd as-Salib,Q11903782
Abd el-Káder,Q307901
Abd el-Malik,Q307288
Abd ul-Latif,Q317333
Abd ül-Mecid,Q479670
Abd-Al·lah,Q307578
Abd-Manaf,Q4664549
Abd-Rabbih,Q21081537
Abd-Xams,Q11903713
Abd-Yaghuth,Q21081538
Abd-ad-Dar,Q21081495
Abd-ad-Dayyan,Q11903714
Abd-adh-Dhahir,Q11903719
Abd-adh-Dhàhir,Q11903719
Abd-adh-Dhàhir (nom),Q11903719
Abd-aix-Xafi,Q11903716
Abd-aix-Xahid,Q11903718
Abd-aix-Xakur,Q4666328
Abd-aix-Xakur,Q11903717
Abd-aix-Xakur (nom),Q11903717
Abd-al-Afu,Q11903720
Abd-al-Afú,Q11903720
Abd-al-Afú (nom),Q11903720
Abd-al-Ahad,Q11903761
Abd-al-Akhir,Q21081497
Abd-al-Ala,Q11903721
Abd-al-Alim,Q13479668
Abd-al-Alí (nom),Q30331740
Abd-al-Amir,Q11903722
Abd-al-Awwal,Q11903763
Abd-al-Aziz,Q10761018
Abd-al-Badi,Q11903724
Abd-al-Badí,Q11903724
Abd-al-Badí (nom),Q11903724
Abd-al-Baqi (nom),Q30331761
Abd-al-Bari,Q4665303
Abd-al-Barr,Q21081499
Abd-al-Bassir,Q4665310
Abd-al-Batin,Q21081500
Abd-al-Bàssit,Q28053554
Abd-al-Bàtin,Q21081500
Abd-al-Fattah,Q113024794
Abd-al-Ghaffar (nom),Q4665325
Abd-al-Ghafur,Q11903726
Abd-al-Ghaní,Q28053538
Abd-al-Ghaní (nom),Q30334864
Abd-al-Ghàfir,Q11903728
Abd-al-Hadi,Q4665347
Abd-al-Hafidh,Q21081501
Abd-al-Hakim,Q4665376
Abd-al-Halim,Q4665382
Abd-al-Hamid,Q13422873
Abd-al-Haqq,Q28053508
Abd-al-Hassib,Q11903730
Abd-al-Hayy,Q4665365
Abd-al-Hàkam,Q11903735
Abd-al-Ilah,Q11903732
Abd-al-Jamil,Q4665445
Abd-al-Jawad,Q21081503
Abd-al-Kaba,Q21081504
Abd-al-Kabir,Q11903734
Abd-al-Karim,Q317304
Abd-al-Khabir,Q11903737
Abd-al-Khallaq,Q21044909
Abd-al-Khal·laq,Q21044909
Abd-al-Khàliq,Q4665487
Abd-al-Latif,Q317333
Abd-al-Madan,Q21081505
Abd-al-Mahdí,Q11903738
Abd-al-Majid,Q479670
Abd-al-Majid,Q21097846
Abd-al-Majid (nom),Q21097846
Abd-al-Malik,Q11903739
Abd-al-Matin,Q21081506
Abd-al-Matín,Q21081506
Abd-al-Mawla,Q11903740
Abd-al-Muakkhir,Q21081508
Abd-al-Mubin,Q21081509
Abd-al-Mubín,Q21081509
Abd-al-Mughni,Q21081510
Abd-al-Mughní,Q21081510
Abd-al-Muhsi,Q21081512
Abd-al-Muhsin,Q11903751
Abd-al-Muhsí,Q21081512
Abd-al-Mujib,Q11903742
Abd-al-Mumin,Q11903741
Abd-al-Muqaddim,Q21081513
Abd-al-Muqit,Q21081514
Abd-al-Muqtadir,Q11903752
Abd-al-Muqàddim,Q21081513
Abd-al-Mussair,Q11903745
Abd-al-Mussàwir,Q11903744
Abd-al-Mussàïr,Q11903745
Abd-al-Mussàïr (nom),Q11903745
Abd-al-Mutaali,Q21081516
Abd-al-Mutakabbir,Q21081518
Abd-al-Mutakàbbir,Q21081518
Abd-al-Muti,Q21081519
Abd-al-Mutí,Q21081519
Abd-al-Muàkkhir,Q21081508
Abd-al-Màjid,Q11903746
Abd-al-Màjid (nom),Q11903746
Abd-al-Màlik,Q307288
Abd-al-Múhsin,Q11903751
Abd-al-Múhsin (nom),Q11903751
Abd-al-Múnim,Q4665566
Abd-al-Múqtadir,Q11903752
Abd-al-Múqtadir (nom),Q11903752
Abd-al-Múttalib,Q28051190
Abd-al-Qadim,Q11903750
Abd-al-Qadir,Q21081520
Abd-al-Qahhar,Q21081522
Abd-al-Qarib,Q21081523
Abd-al-Qawí,Q21045576
Abd-al-Qays,Q11903754
Abd-al-Qayyum,Q4665610
Abd-al-Quddús (nom),Q4665616
Abd-al-Qàbid,Q11903756
Abd-al-Qàdir,Q317520
Abd-al-Qàdir,Q21081520
Abd-al-Qàhir,Q11903757
Abd-al-Uzza,Q4664595
Abd-al-Wadud,Q4665739
Abd-al-Wahhab,Q11723828
Abd-al-Wakil,Q11903759
Abd-al-Wali,Q21081524
Abd-al-Wali,Q11903760
Abd-al-Walí,Q21081524
Abd-al-Warith,Q21081526
Abd-al-Wassi,Q21081527
Abd-al-Witr,Q21081528
Abd-al-Wàhid,Q4665752
Abd-al-Wàrith,Q21081526
Abd-al-Àhad,Q11903761
Abd-al-Àhad (nom),Q11903761
Abd-al-Àkhir,Q21081497
Abd-al-Àkram,Q11903764
Abd-al-Àwwal,Q11903763
Abd-al-Àwwal (nom),Q11903763
Abd-an-Nabi,Q11903762
Abd-an-Nabí,Q11903762
Abd-an-Nabí (nom),Q11903762
Abd-an-Nassir,Q11903765
Abd-an-Nur,Q21081529
Abd-an-Nàssir,Q11903768
Abd-ar-Rabb,Q21081531
Abd-ar-Rafi,Q21081532
Abd-ar-Rafiq,Q21045513
Abd-ar-Rahim,Q20995570
Abd-ar-Rahman,Q3710734
Abd-ar-Rahman,Q307378
Abd-ar-Raixid,Q16001377
Abd-ar-Raqib,Q28053386
Abd-ar-Rassul,Q11903774
Abd-ar-Raziq,Q21081533
Abd-ar-Razzaq,Q11903775
Abd-ar-Razzaq,Q22977313
Abd-ar-Raüf,Q11903781
Abd-ar-Rida,Q21081535
Abd-ar-Ridà,Q21081535
Abd-ar-Ràziq,Q21081533
Abd-as-Salam,Q4666312
Abd-as-Salam (nom),Q11903783
Abd-as-Salib,Q11903782
Abd-as-Sami,Q11903784
Abd-as-Samí,Q11903784
Abd-as-Samí (nom),Q11903784
Abd-as-Satir,Q21081536
Abd-as-Sattar,Q28053523
Abd-as-Subbuh,Q11903788
Abd-as-Sàmad,Q13057047
Abd-as-Sàyyid,Q11903786
Abd-at-Tawwab,Q11903785
Abd-at-Tayyib,Q11903791
Abd-at-Tàyyib,Q11903791
Abd-at-Tàyyib (nom),Q11903791
Abd-az-Zahrà,Q11903789
Abd-ul-Aziz,Q10761018
Abd-ullah,Q54834040
Abda,Q307542
Abda,Q116365937
Abdaikl,Q18208921
Abdaka,Q65767139
Abdala,Q21401490
Abdalaziz,Q10761018
Abdalla,Q30090786
Abdalla,Q71421673
Abdallah,Q30090786
Abdallahi,Q77727205
Abdalá,Q21401490
Abdarrahman,Q16161107
Abdel,Q20001071
Abdel Aal,Q107293008
Abdel Basset,Q28053554
Abdel Fattah,Q4664745
Abdel Nour,Q56597708
Abdelahad,Q54670701
Abdelali,Q112086095
Abdelatif,Q317333
Abdelaziz,Q18702129
Abdelazizus,Q18702129
Abdelazizus,Q10761018
Abdelbaki,Q19915122
Abdelhadi,Q65767140
Abdelhafid,Q60580334
Abdelhak,Q28053508
Abdelhamid,Q21502332
Abdelhaq,Q111272857
Abdelhay,Q29407509
Abdelhraman,Q65767141
Abdelilah,Q23536156
Abdeljabbar,Q28053562
Abdeljalil,Q26742206
Abdeljelil,Q54006558
Abdelkader,Q317520
Abdelkader,Q307901
Abdelkader (egyértelműsítő lap),Q317520
Abdelkarim,Q307967
Abdelkrim,Q19869825
Abdellah,Q60580319
Abdellatif,Q65177058
Abdelmadjid,Q18695637
Abdelmalek,Q23308387
Abdelmouiz,Q110845299
Abdelmoumene,Q63726635
Abdeluheb,Q20968094
Abdelwahab,Q109925832
Abdenago,Q3603359
Abdennour,Q19869611
Abdenour,Q88020867
Abderaouf,Q110846203
Abderrahim,Q22282623
Abderrahman,Q60881200
Abderrahmane,Q19914334
Abderrahmane,Q307378
Abderraman,Q307378
Abderramán,Q307378
Abderramão,Q307378
Abderrazak,Q22977313
Abderrazzak,Q87256525
Abdeslam,Q60580321
Abdi,Q25936438
Abdia,Q104407083
Abdia,Q1249281
Abdias,Q1249281
Abdiasz,Q25415997
Abdiel,Q26743339
Abdiele,Q25936436
Abdieso,Q3603366
Abdillahie,Q71421524
Abdirahman,Q20001063
Abdirizak,Q113102092
Abdisalaam,Q30093779
Abdisalam,Q30093781
Abdissares,Q54693107
Abdissarīs,Q54693107
Abdo,Q65767142
Abdol,Q99330107
Abdolali,Q115446079
Abdolhossein,Q52111742
Abdollah,Q112336762
Abdolmajid,Q100275477
Abdolmohammad,Q111655104
Abdolreza,Q4665099
Abdon,Q479647
Abdou,Q60589148
Abdou,Q308325
Abdoul,Q23308280
Abdoul Wahid,Q4665752
Abdoul-Baki,Q116793213
Abdoul-Hamid,Q116748284
Abdoulatifou,Q19914396
Abdoulay,Q69138885
Abdoulaye,Q15781299
Abdoulbaki,Q115688320
Abdoulie,Q97751513
Abdoulkader,Q65177059
Abdoullah,Q107061517
Abdoullatuf,Q65767143
Abdoulmoumoni,Q114276708
Abdourafiou,Q116793214
Abdourahamane,Q19869350
Abdourahman,Q115647523
Abdourahmane,Q108093615
Abdourakhmane,Q65767144
Abdouraman,Q110256437
Abdu,Q308325
Abduali,Q65769713
Abduh,Q308325
Abdul,Q19818134
Abdul Aalee,Q116363999
Abdul Adl,Q116364000
Abdul Afuw,Q116364002
Abdul Ahad,Q116364003
Abdul Aleem,Q116364004
Abdul Alim,Q116364005
Abdul Aliyy,Q116364006
Abdul Awwal,Q116364007
Abdul Azim,Q116364008
Abdul Baari,Q116364009
Abdul Baasit,Q116364011
Abdul Badee,Q116364012
Abdul Badi,Q116364013
Abdul Baith,Q116364015
Abdul Baqi,Q28053555
Abdul Bari,Q4665303
Abdul Barr,Q116364016
Abdul Baseer,Q116364017
Abdul Basir,Q116364018
Abdul Basit,Q28053554
Abdul Batin,Q116364019
Abdul Fattah,Q116364020
Abdul Ghafaar,Q116364021
Abdul Ghaffar,Q4665325
Abdul Ghaffar,Q28053534
Abdul Ghafoor,Q28053535
Abdul Ghafur,Q116364024
Abdul Ghani,Q28053538
Abdul Hadi,Q4665347
Abdul Hafeez,Q28053511
Abdul Hafiz,Q4665356
Abdul Hai,Q4665365
Abdul Hakam,Q116364025
Abdul Hakeem,Q116364026
Abdul Hakim,Q4665376
Abdul Haleem,Q116364027
Abdul Halim,Q4665382
Abdul Halim,Q307288
Abdul Hameed,Q116364028
Abdul Hamid,Q13422873
Abdul Hamid,Q116364029
Abdul Hannan,Q116364031
Abdul Haq,Q28053508
Abdul Haqq,Q116364032
Abdul Haseeb,Q116364033
Abdul Hasib,Q116364034
Abdul Hayy,Q116364035
Abdul Jabaar,Q116364036
Abdul Jabbar,Q28053562
Abdul Jaleel,Q116364037
Abdul Jalil,Q28053499
Abdul Jamil,Q4665445
Abdul Jawwad,Q116364038
Abdul Kabir,Q116364040
Abdul Kareem,Q116364041
Abdul Karim,Q116364042
Abdul Karim,Q317304
Abdul Khabir,Q116364043
Abdul Khalid,Q113375025
Abdul Khaliq,Q4665487
Abdul Lateef,Q116364044
Abdul Latif,Q317333
Abdul Maajid,Q116364045
Abdul Madjid,Q479670
Abdul Mahdi,Q99662199
Abdul Majid,Q479670
Abdul Malik,Q307288
Abdul Malik (disambiguasi),Q307288
Abdul Mani,Q116364046
Abdul Mannan,Q17280253
Abdul Masih,Q56258498
Abdul Mateen,Q28053543
Abdul Matin,Q28053543
Abdul Monem,Q4665566
Abdul Muaz,Q111837458
Abdul Muhyi,Q116364048
Abdul Muid,Q116364049
Abdul Muiz,Q111837390
Abdul Muizz,Q116364050
Abdul Mujeeb,Q116364051
Abdul Mujib,Q116364052
Abdul Mumin,Q116364053
Abdul Munim,Q116364055
Abdul Muntaqim,Q116364056
Abdul Muqaddim,Q116364057
Abdul Muqeet,Q116364058
Abdul Muqsit,Q116364059
Abdul Muqtadir,Q116364060
Abdul Musawwir,Q116364061
Abdul Mutaal,Q116364062
Abdul Muti,Q116364063
Abdul Muzanni,Q116364065
Abdul Nafi,Q116364066
Abdul Naseer,Q116364067
Abdul Nasir,Q116364068
Abdul Nasir,Q11903768
Abdul Nasser,Q4665579
Abdul Noor,Q116364070
Abdul Nur,Q116364071
Abdul Qaadir,Q116364072
Abdul Qadeer,Q108858447
Abdul Qadir,Q317520
Abdul Qahaar,Q116364074
Abdul Qahar,Q108237634
Abdul Qahhar,Q116364075
Abdul Qawi,Q116364076
Abdul Qayyum,Q4665610
Abdul Qayyum (định hướng),Q4665610
Abdul Quddus,Q4665616
Abdul Qudoos,Q116364077
Abdul Raafi,Q116364078
Abdul Rabb,Q116364079
Abdul Rafi,Q116364080
Abdul Raheem,Q116364082
Abdul Rahim,Q116364083
Abdul Rahman,Q3710734
Abdul Rahman,Q307378
Abdul Raqib,Q116364084
Abdul Rashid,Q16001377
Abdul Rauf,Q116364085
Abdul Razak,Q22977313
Abdul Razzaq,Q22977313
Abdul Sabur,Q116364086
Abdul Salam,Q116364087
Abdul Samad,Q13057047
Abdul Sami,Q116364088
Abdul Sattar,Q28053523
Abdul Shahid,Q116364089
Abdul Shakoor,Q4666328
Abdul Shakur,Q4666328
Abdul Tawwab,Q116364090
Abdul Waali,Q116364092
Abdul Wadud,Q4665739
Abdul Wahab,Q11723828
Abdul Wahhab,Q11723828
Abdul Wahid,Q4665752
Abdul Wajid,Q116364093
Abdul Wakil,Q116364094
Abdul Wali,Q116364095
Abdul Waliy,Q116364096
Abdul Warith,Q116364098
Abdul Wasi,Q116364099
Abdul Zahir,Q116364100
"Abdul, Abdel, Abd al",Q116364101
Abdul-Aalee,Q116364102
Abdul-Adheem,Q116364103
Abdul-Aleem,Q116364104
Abdul-Azeez,Q115959876
Abdul-Baaqi,Q116364106
Abdul-Baari,Q116364107
Abdul-Baasit,Q116364108
Abdul-Barr,Q116364109
Abdul-Dhahir,Q116364110
Abdul-Ghaffar,Q116364111
Abdul-Ghafur,Q116364112
Abdul-Hafeedh,Q116364113
Abdul-Hakeem,Q116364115
Abdul-Haleem,Q116364116
Abdul-Hameed,Q116364117
Abdul-Haqq,Q116364118
Abdul-Haseeb,Q116364119
Abdul-Jaleel,Q116364120
Abdul-Kareem,Q116364121
Abdul-Lateef,Q116364122
Abdul-Malik,Q307288
Abdul-Medzsid,Q479670
Abdul-Mu'eid,Q116364123
Abdul-Mu'izz,Q116364126
Abdul-Mughni,Q116364125
Abdul-Mujeeb,Q116364127
Abdul-Mumin,Q116364128
Abdul-Muqtadir,Q116364129
Abdul-Muta'alee,Q116364130
Abdul-Nasir,Q61744707
Abdul-Nur,Q116364131
Abdul-Qaadir,Q116364133
Abdul-Qahhar,Q116364134
Abdul-Qaiyoum,Q116364135
Abdul-Waajid,Q116364136
Abdul-Wadood,Q116364137
Abdul-Warith,Q116364138
Abdul-Yussuf,Q99506410
Abdulah,Q113509560
Abdulahat,Q106484112
Abdulai,Q64787958
Abdulatif,Q317333
Abdulaziz,Q10761018
Abdulaziz,Q30091209
Abdulhadi,Q4665347
Abdulhakim,Q34048883
Abdulhakim (ime),Q4665376
Abdulhalim,Q4665382
Abdulhamid,Q13422873
Abdulhamid,Q108307893
Abdulhamit,Q106499634
Abduljalil,Q114362403
Abdulkadir,Q20155853
Abdulkarim,Q30093811
Abdulla,Q23796176
Abdulla,Q307578
Abdullah,Q307578
Abdullahi,Q4666118
Abdulláh,Q307578
Abdulmadschid,Q479670
Abdulqawi,Q56870624
Abdulqodir,Q317520
Abdulrahim,Q103604191
Abdulrahman,Q30093824
Abdulrahman,Q3710734
Abdulrazak,Q36032071
Abdulsalaam,Q30093834
Abdulsalam,Q112133779
Abdumannan,Q104622897
Abdur,Q65594023
Abdur Rab,Q4666228
Abdur Rahim,Q20995570
Abdur Rahman,Q307378
Abdur Rashid,Q16001377
Abdur Rauf,Q4666246
Abdur Razzaq,Q317438
